ICAO.Code,IATA.Code,Airport.Name,City,Country,Latitude,Longitude
CYMR,N/A,N/A,MERRY ISLAND,CANADA,0,0
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46.274,-75.99
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45.68,-74.039
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50.19,-61.789
CYND,YND,GATINEAU,GATINEAU,CANADA,45.521,-75.564
CYNI,N/A,N/A,NITCHEQUON,CANADA,0,0
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49.762,-77.803
CYNY,N/A,N/A,ENDERBY,CANADA,0,0
CYO,N/A,N/A,WYNYARD,CANADA,0,0
CYOC,YOC,OLD CROW,OLD CROW,CANADA,67.571,-139.839
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54.405,-110.279
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58.621,-117.165
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45.323,-75.669
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53.214,-105.673
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56.227,-117.447
CYPF,N/A,N/A,ESQUIMALT,CANADA,0,0
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49.903,-98.275
CYPH,YPH,N/A,INUKJUAK,CANADA,0,0
CYPK,N/A,PITT MEADOWS,PITT MEADOWS,CANADA,49.216,-122.71
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,51.446,-90.214
CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,49.836,-64.289
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44.23,-78.363
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54.286,-130.445
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58.767,-111.117
CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,44.975,-79.303
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46.788,-71.398
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52.179,-113.893
CYQG,YQG,WINDSOR,WINDSOR,CANADA,42.276,-82.956
CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,60.118,-128.822
CYQK,YQK,KENORA,KENORA,CANADA,49.788,-94.363
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,49.63,-112.8
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46.112,-64.679
CYQN,N/A,NAKINA,NAKINA,CANADA,50.183,-86.696
CYQQ,YQQ,COMOX,COMOX,CANADA,49.711,-124.887
CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,50.432,-104.666
CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,48.372,-89.324
